Title,Published_date,Views,Likes,Comments,Month
"Wakadinali - ""Tourist"" Ft. Khaligraph Jones (Official Music Video)",2024-02-29,1003122,28622,2060,Feb
"WAKADINALI - ""RONG EXPERIENCE"" LIVE PART 1",2024-01-16,95337,2909,199,Jan
"Wakadinali - ""Hizi Stance"" (Official Music Video)",2023-11-25,6257353,52633,3087,Nov
#RongExperience Is Coming This 15.12.2023,2023-11-22,13725,935,17,Nov
"Wakadinali - ""Mariwana"" (Official Music Video)",2023-11-22,1168276,17432,1066,Nov
#Ad #ThisIsHowWeDo music with@TuskerKenya #paidpartnershipwitheabl #kenyamilele,2023-11-20,14282,924,18,Nov
#Ad mnang’am #tuskeroktobafest is coming #RongRende #kenyamilele #paidpartnershipwitheabl,2023-10-06,14291,802,12,Oct
Fully Loaded na ​⁠@tuskerkenya at #tuskeroktobafest EAST AFRICA #ThisIsHowWeDo #OktobaFestEasAfrica,2023-10-06,10148,551,8,Oct
#Ad weekend@tuskerkenya #TuskerOktobafest East Africa #KenyaMilele#RongRende#paidpartnershipwitheabl,2023-10-03,11003,728,10,Oct
"Wakadinali X Andrew Kibe - ""Graduation"" (Official Music Video)",2023-09-25,992178,26246,1831,Sep
"Wakadinali-""Top Scorer""(Official Audio)",2023-08-11,676295,14449,1359,Aug
Wakadinali - “Case Closed” (Official Music Video),2023-07-15,1698089,26830,1725,Jul
#Ad Tourist….tulimeet westy Alchemist @TuskerKenya #kenyamilele  #paidpartnershipwitheabl,2023-07-10,26823,1310,6,Jul
#Ad RongReggea  #SelfRule kujibamba na @TuskerKenya  #kenyamilele #paidpartnershipwitheabl,2023-07-10,17098,1050,10,Jul
#Ad You Know its Rong time with @TuskerKenya#RongRende #kenyamilele  #paidpartnershipwitheabl,2023-07-04,17013,839,15,Jul
#Ad A party when we link!! cheers to @TuskerKenya #RongRende #paidpatnershipwithEabl #KenyaMilele,2023-07-04,12673,537,5,Jul
#Ad case closed @pambanrb na @Tuskerkenya SelfRuleNi#KenyaMilele#paidpartnershipwitheabl,2023-06-08,19169,883,13,Jun
#Ad Tuko shughli zote na @TuskerKenya #NYCP3  #SelfRuleNi #KenyaMilele #paidpartnershipwitheabl,2023-06-02,16973,1035,11,Jun
#Ad just a day in the Rong Studios with @loskiskillo#KenyaMilele#paidpartnershipwitheabl,2023-05-30,31055,1736,21,May
"Wakadinali - ""Sikutambui"" (Official Music Video)",2023-05-13,7717633,54869,2471,May
#Quivers Nairobi the sherehe continues #KenyaMilele#TuskerFest#RongTour#paidpartnershipwitheabl,2023-04-19,22914,941,15,Apr
"#Ad Tumekam  na @TuskerKenya for #TuskerFest, #RR#KenyaMilele#RongTour#paidpartnershipwitheabl",2023-03-20,21013,1042,21,Mar
"Wakadinali -“Rong Reggae”(Official Music Video) ft Mc GiJo, RiDiQ & Skillo",2023-02-13,1380515,22799,1799,Feb
Wakadinali - “Kim Jong un” (Official Music Video),2022-12-16,488111,11630,800,Dec
"Wakadinali - ""Balalu""  (Official Music Video)",2022-11-30,3388103,40201,3289,Nov
"Wakadinali - ""McMca"" (Official Music Video)",2022-10-14,4793517,44437,3044,Oct
"Wakadinali - ""Halloo"" (Official Lyric Video)",2022-10-01,330255,9544,747,Oct
"Wakadinali - ""Bonus"" (Official Album Audio )",2022-03-21,103656,2255,127,Mar
"Wakadinali - ""Avoid those People"" ft. All Stars (Official Album Audio)",2022-03-19,51732,684,31,Mar
"Wakadinali - ""Kim Jong-Un"" (Official Album Audio )",2022-03-19,95872,1988,160,Mar
"Wakadinali - ""Pima poa"" (Official Album Audio )",2022-03-19,60900,1143,85,Mar
"Wakadinali - ""NyaraNyara"" (Official Album Audio )",2022-03-18,15554,346,46,Mar
"Wakadinali - ""Wapi na Nani"" ft. Sir Bwoy (Official Album Audio )",2022-03-18,58728,1079,83,Mar
"Wakadinali - ""NjegeMasanse"" (Official Album Audio )",2022-03-18,112974,1514,66,Mar
"Wakadinali - ""Interlude"" (Official Album Audio )",2022-03-18,14366,210,17,Mar
"Wakadinali - ""Love Song"" (Official Album Audio )",2022-03-18,11774,220,22,Mar
"Wakadinali - ""Dilated"" (Official Album Audio )",2022-03-17,158569,2282,208,Mar
"Wakadinali - ""Extra Pressure"" (Official Album Audio )",2022-03-17,19801,279,27,Mar
"Wakadinali - ""XXXL"" (Official Album Audio )",2022-03-17,21632,261,31,Mar
"Wakadinali - ""Chesswoh"" (Official Album Audio )",2022-03-17,122635,2316,230,Mar
"Wakadinali - ""Morio Anzenza Ft. Dyana Cods"" (Official Album Audio)",2022-03-17,9194,423,55,Mar
"Wakadinali - ""Intro"" (Narrated by Tracy Mukami)",2022-03-17,14381,184,33,Mar
"Wakadinali - ""Eye contact"" (Official Music Video )",2022-02-07,1773418,24414,1498,Feb
"Wakadinali - ""Eye contact"" (Official Audio)",2021-12-21,198986,7923,812,Dec
"Wakadinali - ""Geri Inengi"" ft SirBwoy (Official Music Video)",2021-10-23,9825396,85997,4166,Oct
"Wakadinali - ""Umoroto"" (Official Music Video)",2021-08-25,4058225,40192,2907,Aug
"Wakadinali - ""Love Song"" (Official Music Video)",2021-06-04,1160247,18680,1359,Jun
"Wakadinali - ""Avoid those People"" ft. All Stars (Official Music Video)",2021-04-19,5031596,48714,3818,Apr
"WAKADINALI - ""THE  RONGEXPERIENCE"" (AT BLUEDOOR)",2021-02-11,56614,2055,216,Feb
"Wakadinali -""Eastlando"" (Official Audio)",2021-01-02,101955,1716,90,Jan
"Wakadinali - ""Si tafadhali"" (Official Audio)",2021-01-01,102090,1725,121,Jan
"Wakadinali - ""Zoza Zoza"" (Official Audio)",2021-01-01,75795,1138,85,Jan
"Wakadinali - ""Umetii"" (Official Audio)",2021-01-01,96299,1806,185,Jan
"Wakadinali - ""Starehe ndani ya roho"" (Official Audio)",2021-01-01,52252,886,65,Jan
"Wakadinali - ""Mangana Manangos"" (Official Audio)",2021-01-01,29690,527,44,Jan
"Wakadinali - ""Ni Hivi ama Ni Hivi"" (Official Audio)",2020-12-31,55371,804,54,Dec
"Wakadinali - ""Mtoto ni mrembo"" ft TNT(Official Audio)",2020-12-31,230076,3035,200,Dec
"Wakadinali - ""Moja Safi"" ft Khaligraph Jones & TNT (Official Audio)",2020-12-31,100420,3497,317,Dec
"Wakadinali - ""Like uuh"" (Official Audio)",2020-12-31,45866,1054,128,Dec
"Wakadinali - ""Better Days ft Dyana Cods"" (Official Audio)",2020-12-31,84969,1634,192,Dec
"Wakadinali - ""NyaraNyara"" (Official Music Video)",2020-12-07,3191468,32583,1867,Dec
THE MAKING OF VICTIMS OF MADNESS (OFFICIAL DOCUMENTARY),2020-11-25,61540,2665,250,Nov
"Wakadinali -""XXXL"" (Official Music Video)",2020-10-12,2804685,26384,1921,Oct
"Wakadinali -""Extra Pressure"" (Official Music Video)",2020-09-05,2161764,23630,1583,Sep
"Wakadinali - ""Joho"" (Official Music Video)",2020-07-05,867268,10656,790,Jul
"Wakadinali - ""X Bosses"" Ft Mic 1 Eazy (Official Music Video)",2020-06-06,214459,4371,452,Jun
"Wakadinali - ""Extra Pressure"" (Official Audio)",2020-05-08,162234,3819,692,May
"Wakadinali - ""Lockdown"" (Official Audio)",2020-03-27,182443,3217,305,Mar
"Wakadinali - ""Mihadarati"" (Official Music Video)",2020-03-10,184123,4044,378,Mar
"Wakadinali - ""Kuna Siku Youths Wataungana"" Ft Sir Bwoy (Official Music Video)",2020-02-18,594056,15848,1714,Feb
"Wakadinali - ""Clean  Sheet"" (Official  Audio)",2020-01-21,66088,1697,149,Jan
"Domani Munga - ""MUNGU 6"" (Official Music Video)",2019-12-31,209631,3429,321,Dec
"Domani Munga - ""MUNGU 5"" (Official Music Video)",2019-12-31,225752,4772,374,Dec
"Wakadinali - ""Mrenga"" (Official  Music Video)",2019-11-01,977254,11241,691,Nov
"SewerSydaa ft Domani & SirBwoy - ""4 na kambao"" (Official Audio)",2019-10-21,68484,1436,140,Oct
"WAKADINALI PRESENTS ""THE RONG CYPHER"" (Official Music Video)",2019-09-29,1845671,17386,1577,Sep
"Abbas Kubaff X Khaligraph Jones X Wakadinali - ""High Noon"" (Official Audio)",2019-08-18,908438,11179,1313,Aug
"Wakadinali -""Morio Anzenza"" Ft Dyana Cods (Official Music Video)",2019-07-18,3636216,32836,2229,Jul
Scar Mkadinali - Kovu Instrumental (prod by Alex Vice) - Wakadinali - Wakadinali,2019-07-03,1496,36,0,Jul
"Wakadinali - ""Arif Mang'aa"" ft Sir Bwoy (Official Audio)",2019-06-12,40606,936,121,Jun
"Wakadinali -""Vunja Magoti"" (Official Audio)",2019-06-03,49509,1251,214,Jun
"Scar Mkadinali - ""Kovu"" (Official Music Video)",2019-04-25,1668618,23035,1407,Apr
"Wakadinali - ""Mangana Manangos"" (Official Music Video)",2019-04-02,634113,7639,480,Apr
"SewerSydaa - ""GLOCK"" (Official Audio)",2019-03-10,41301,1035,113,Mar
"Wakadinali ft ARES 66 - ""Kuenda Na Mimi"" (Official Audio)",2019-01-20,68988,1540,197,Jan
"Domani Munga - ""MUNGU 4"" (Official Music Video)",2018-12-31,377083,6155,542,Dec
"Wakadinali ft TNT & Khaligraph Jones - ""Moja Safi"" (Official Audio)",2018-12-18,247078,3720,336,Dec
"ARES 66 Ft. Wakadinali - ""Nipeleke Na Rada"" (Official Audio)",2018-11-09,45778,984,105,Nov
"Dyana Cods Ft. Wakadinali - ""Gimmie Your Love"" (Official Audio)",2018-11-09,66345,1662,154,Nov
"Wakadinali - ""Ulkuwa Wapi"" (Official Music Video)",2018-10-11,772156,11221,729,Oct
"Wakadinali - ""Rarua"" (Official Audio)",2018-09-25,18073,401,77,Sep
"Wakadinali - ""KU****YE!!"" (Official Music Video)",2018-09-02,459519,6557,591,Sep
"Wakadinali - ""Ekelea Kazi"" (Official Audio)",2018-08-17,126028,1666,168,Aug
Wakadinali - SET IT OFF  2 EVENT @ALCHEMIST (PERFORMANCE VIDEO),2018-05-03,11570,311,25,May
Wakadinali - SET IT OFF EVENT @ALCHEMIST (PERFORMANCE VIDEO),2018-01-30,2401,75,6,Jan
"Wakadinali ft Yung Haze, Ridik, Ares 66 - ""RYM GYM CYPHER"" (Official Audio)",2018-01-26,29096,477,42,Jan
"Wakadinali - ""Staki Rafiki"" (Official Audio)",2018-01-25,87967,1217,99,Jan
"Wakadinali ft Yung Haze - ""No Regrets"" (Official Audio)",2018-01-25,10464,138,13,Jan
"Wakadinali - ""Ujinga Ujinga"" (Official Audio)",2018-01-25,27726,427,36,Jan
"Wakadinali ft Dynamizzo Lion - ""My Woman"" (Official Audio) #FreeDynamizzoLion",2018-01-25,22135,361,26,Jan
